study_number,title,author,publication_year,sample_id,location,sample_type,grab_composite,fraction,sample_size_ml,sample_size_g,concentration_method,extraction_method,PCR_method,primer,target_gene,original_copy_number_vol,original_copy_number_mass,copy_number_ml,log_copy_number_ml,root_3_copy_number_ml,copy_number_g,log_copy_number_g,root_3_copy_number_g,ct,positivity,positive_negative,positive_negative_num,detection_kit,population,case_original,case_cumulative,case_daily,case_active,case_hospitalized,case_weekly,digitalizer,study_info,date
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_08,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,1.3x10^4 copies/L,NA,13,1.113943352,2.351334688,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,31501,6.9,21.9,18.9,NA,NA,NA,yes,WWTP_A,2020-Apr-30
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_09,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,112396,24.61,21.9,18.9,NA,NA,NA,yes,WWTP_B,2020-Apr-30
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_09,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,1.2x10^4 copies/L,NA,12,1.079181246,2.289428485,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,112396,24.61,21.9,18.9,NA,NA,NA,yes,WWTP_B,2020-Apr-30
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_09,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,112396,24.61,21.9,18.9,NA,NA,NA,yes,WWTP_B,2020-Apr-30
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_10,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,169400,30.49,18,16.9,NA,NA,NA,yes,WWTP_D,2020-May-01
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_10,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,169400,30.49,18,16.9,NA,NA,NA,yes,WWTP_D,2020-May-01
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_10,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,169400,30.49,18,16.9,NA,NA,NA,yes,WWTP_D,2020-May-01
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_11,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,1.8x10^4 copies/L,NA,18,1.255272505,2.620741394,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,31501,7.47,23.7,19.3,NA,NA,NA,yes,WWTP_A,2020-May-07
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_11,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,31501,7.47,23.7,19.3,NA,NA,NA,yes,WWTP_A,2020-May-07
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_11,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,31501,7.47,23.7,19.3,NA,NA,NA,yes,WWTP_A,2020-May-07
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_12,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,112396,26.64,23.7,19.3,NA,NA,NA,yes,WWTP_B,2020-May-07
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_12,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,112396,26.64,23.7,19.3,NA,NA,NA,yes,WWTP_B,2020-May-07
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_12,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,112396,26.64,23.7,19.3,NA,NA,NA,yes,WWTP_B,2020-May-07
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_13,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,169400,35.07,20.7,16.2,NA,NA,NA,yes,WWTP_D,2020-May-08
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_13,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,169400,35.07,20.7,16.2,NA,NA,NA,yes,WWTP_D,2020-May-08
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_13,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,169400,35.07,20.7,16.2,NA,NA,NA,yes,WWTP_D,2020-May-08
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_14,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,31501,7.81,24.8,10.1,NA,NA,NA,yes,WWTP_A,2020-May-14
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_14,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,31501,7.81,24.8,10.1,NA,NA,NA,yes,WWTP_A,2020-May-14
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_14,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,31501,7.81,24.8,10.1,NA,NA,NA,yes,WWTP_A,2020-May-14
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_15,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,169400,35.57,21,8,NA,NA,NA,yes,WWTP_D,2020-May-15
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_15,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,169400,35.57,21,8,NA,NA,NA,yes,WWTP_D,2020-May-15
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_15,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,169400,35.57,21,8,NA,NA,NA,yes,WWTP_D,2020-May-15
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_16,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,233480,49.03,21,8,NA,NA,NA,yes,WWTP_E,2020-May-15
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_16,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,3.5x10^4 copies/L,NA,35,1.544068044,3.27106631,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,233480,49.03,21,8,NA,NA,NA,yes,WWTP_E,2020-May-15
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_16,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,233480,49.03,21,8,NA,NA,NA,yes,WWTP_E,2020-May-15
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_17,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,112396,28.55,25.4,6.57,NA,NA,NA,yes,WWTP_B,2020-May-21
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_17,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,112396,28.55,25.4,6.57,NA,NA,NA,yes,WWTP_B,2020-May-21
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_17,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,112396,28.55,25.4,6.57,NA,NA,NA,yes,WWTP_B,2020-May-21
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_18,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,169400,36.59,21.6,3.48,NA,NA,NA,yes,WWTP_D,2020-May-22
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_18,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,169400,36.59,21.6,3.48,NA,NA,NA,yes,WWTP_D,2020-May-22
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_18,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,169400,36.59,21.6,3.48,NA,NA,NA,yes,WWTP_D,2020-May-22
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_19,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,233480,50.43,21.6,3.48,NA,NA,NA,yes,WWTP_E,2020-May-22
